"filename", "language", "C++", "Makefile", "comment", "blank", "total"
"d:\LC\!academic\程设课设\Proj\src\Makefile", "Makefile", 0, 32, 0, 16, 48
"d:\LC\!academic\程设课设\Proj\src\batch_input.cpp", "C++", 203, 0, 10, 25, 238
"d:\LC\!academic\程设课设\Proj\src\batch_input.h", "C++", 23, 0, 3, 5, 31
"d:\LC\!academic\程设课设\Proj\src\entities.h", "C++", 147, 0, 17, 17, 181
"d:\LC\!academic\程设课设\Proj\src\global.cpp", "C++", 23, 0, 5, 6, 34
"d:\LC\!academic\程设课设\Proj\src\global.h", "C++", 62, 0, 15, 14, 91
"d:\LC\!academic\程设课设\Proj\src\init_data.cpp", "C++", 356, 0, 54, 36, 446
"d:\LC\!academic\程设课设\Proj\src\init_data.h", "C++", 20, 0, 1, 4, 25
"d:\LC\!academic\程设课设\Proj\src\list_ops.cpp", "C++", 780, 0, 18, 28, 826
"d:\LC\!academic\程设课设\Proj\src\list_ops.h", "C++", 101, 0, 15, 19, 135
"d:\LC\!academic\程设课设\Proj\src\main.cpp", "C++", 130, 0, 10, 12, 152
"d:\LC\!academic\程设课设\Proj\src\menus_admin.cpp", "C++", 1552, 0, 57, 255, 1864
"d:\LC\!academic\程设课设\Proj\src\menus_admin.h", "C++", 20, 0, 2, 5, 27
"d:\LC\!academic\程设课设\Proj\src\menus_doctor.cpp", "C++", 820, 0, 61, 133, 1014
"d:\LC\!academic\程设课设\Proj\src\menus_doctor.h", "C++", 8, 0, 0, 1, 9
"d:\LC\!academic\程设课设\Proj\src\menus_patient.cpp", "C++", 460, 0, 36, 50, 546
"d:\LC\!academic\程设课设\Proj\src\menus_patient.h", "C++", 8, 0, 0, 1, 9
"d:\LC\!academic\程设课设\Proj\src\persistence.cpp", "C++", 483, 0, 34, 41, 558
"d:\LC\!academic\程设课设\Proj\src\persistence.h", "C++", 35, 0, 2, 5, 42
"d:\LC\!academic\程设课设\Proj\src\reports.cpp", "C++", 879, 0, 64, 101, 1044
"d:\LC\!academic\程设课设\Proj\src\reports.h", "C++", 19, 0, 0, 4, 23
"d:\LC\!academic\程设课设\Proj\src\utils.cpp", "C++", 184, 0, 5, 28, 217
"d:\LC\!academic\程设课设\Proj\src\utils.h", "C++", 29, 0, 20, 22, 71
"Total", "-", 6342, 32, 429, 828, 7631
